,file,type,conversation,speaker,filtered_transcript_2015,length_of_turn,direction_of_code_switches,first_cs_word,first_cs_word_eng_pos,word_length_eng,english_translation,english_wbw_translation,first_cs_word_zh,word_length_zh,first_cs_word_zh_pos,first_cs_word_eng_raw_freq,first_cs_word_zh_raw_freq,first_cs_word_eng_freq,first_cs_word_zh_freq,chinese_translation,chinese_wbw_translation,cs word en ch surprisal,cs word en wbw ch surprisal,cs word zh h5 surprisal,cs word zh wbw h5 surprisal
1,01NC02FBY_0101,Conversation,1,2,"['十月', 'you', 'mean', 'finals']",4,['man > eng'],you,2,3,october you mean finals,october you mean finals,你,1,2,950006304,25465651,8.549859863469642,10.042662041356165,十月你是说决赛,十月 你 的 意思 是 决赛,6.437155525733739,6.437155525733739,6.801896254503372,6.801896254503372
6,01NC02FBY_0101,Conversation,1,2,"['那个', 'then', '谁', '拿', '那个', 'top', 'one', '那个', 'foucia*']",9,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",then,2,4,that then who takes that top one that foucia*,that then who takes that top one that foucia*,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,那个然后谁谁拿拿拿那个拿那个那个,那个 然后 谁 拿 那个 最佳 那个 foucia *,11.705664055927913,11.705664055927913,9.431380064759797,9.431380064759797
8,01NC01FBX_0101,Conversation,1,1,"['就是', 'score', '就是', 'score', 'then', '为什么', '要', 'then', '他', '讲', 'like', '不', '知道', 'then', 'but', 'top', 'five', '没有', 'n.t.u.', '的', '人']",21,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",score,1,5,it is score that is the score then why he said that he said that he did not know that the but top five does not have n.t.u.u.,that is score that is score then why would then he said like have no idea then but top five no n.t.u. person,分数,2,0,9348150,74680,15.216972256349694,18.45627699699596,就就得分就分数然后为什么要为什么他他他他他不不不不不不不不不不不不不不不不不不他他不为什么为什么为什么为什么的的,就是 分数 就是 然后 得分 为什么 要 然后 他 讲 喜欢 不 知道 然后 排名 前五 没有 N . T . U . 的 人,17.983971956213136,17.5568517294849,16.64582723375285,17.179551454974117
10,01NC01FBX_0101,Conversation,1,1,"['就', '可以', 'imagine', 'name*', 'list*', '连', 'submit', '一', '六五', '都', '没有', '进', 'top', 'five', '是', '很', '强', '的']",18,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",imagine,1,7,"you can be imagine name* list* even submit, one or six or five, it is very strong",can imagine name* list* even submit none of it one six or five top five it is very strong,想象,2,1,11300073,1599462,14.943392952513726,14.035556017456978,就就想象名称*列表*连提交一一六五都都都没有没有没有没有没有没有进没有进没有,就 可以 想象 名称 * 列表 * 连 提交 一 六五 都 没有 进前 五 是 很 强 的,14.393015189211654,10.785156119870578,16.419727838408956,11.255011290575492
16,01NC01FBX_0101,Conversation,1,1,"['你', '你', '真的', '真的', '不', '可以', 'then', '你', '就', '很早', '很早', '去', 'then', '你', '就', '可以', '跟', 'dominique', '讲', '这样', 'like', '唉', '让', '我', '射', '先']",26,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"you, you really can't then, you can go to then very early, you can tell dominique that like this is like this, let me shoot first.","you really can't then you go early and early then you can follow dominique this way like well, let me shoot first",然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后，然后你你不不就早很很早早去早去你你你你就可以可以可以可以可以可以跟可以讲讲讲讲,你 你 真的 真的 不 可以 然后 你 就 很早 很早 去 然后 你 就 可以 跟 多米尼克 讲 这样 喜欢 唉 让 我 射先,11.285945749380703,9.984575435316437,5.862072967538314,9.204701325156156
18,01NC01FBX_0101,Conversation,1,1,"['对', 'hopefully']",2,['man > eng'],hopefully,2,9,to hopefully,right hopefully,希望,2,1,1182177,6355830,18.200207082645257,12.045062197486722,对希望,对 希望,14.313616789237324,16.008510013663756,15.492172431898318,15.492172431898318
20,01NC02FBY_0101,Conversation,1,2,"['可能', '这次', 'male', '会', '失手']",5,"['man > eng', 'eng > man']",male,0,4,maybe male will be lost this time,maybe this time male i will lose their hands,男性,2,0,21239332,599303,14.032986652655715,15.451785233881688,男性会会会会,可能 这次 男性 会 失手,15.962392682500862,16.234661895471547,19.274959584016834,16.276792248534957
30,01NC02FBY_0101,Conversation,1,2,"['我', '的', 'camera']",3,['man > eng'],camera,0,6,my camera,mine camera,相机,2,0,6758774,116837,15.68489156583706,17.810573609705955,我相机,我 的 相机,16.221777797355525,15.468407358307495,20.153744767588,17.919091378591894
31,01NC02FBY_0101,Conversation,1,2,"['搞', '笑', '刚才', 'breakfast', 'i', 'asked', '瑞', '宝', '呃']",9,"['man > eng', 'eng > man']",breakfast,0,9,funny breakfast i asked ruibao,"funny just now breakfast i asked ruibao, uh",早餐,2,2,7819125,45563,15.474645968450815,19.169136183163022,我问早餐瑞瑞瑞瑞宝宝,搞笑 刚才 我 问 早餐 瑞宝 呃,16.677959247636263,16.922964732346585,17.96094102873128,17.96094102873128
34,01NC02FBY_0101,Conversation,1,2,"['我们', 'gym', '到来', '八点', '多', 'leh', 'then', '我', '就', '讲']",10,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",gym,0,3,"our gym arrives at eight o'clock, leh then, i will talk",us gym at more than eight o'clock leh then i just talk,健身房,3,0,949766,8506,18.5160091238609,21.59044616448376,我们健身房到来到来八点leh然后,我们 健身房 到来 八点 多 leh 我 就 讲,15.72818014217083,15.952488021693146,19.111258953814495,19.111258953814495
37,01NC01FBX_0101,Conversation,1,1,"['我', '没有', 'meeting', '了']",4,"['man > eng', 'eng > man']",meeting,0,7,i don't have meeting anymore,i don't meeting be,会议,2,0,31367103,16266233,13.47047275415043,10.689334455356969,我会议了,我 没有 会议 了,14.238016349653876,13.383518446770049,20.611711422026936,17.596027227507907
40,01NC02FBY_0101,Conversation,1,2,"['若惠', '讲', '去', 'farm', 'mart', '吃']",6,"['man > eng', 'eng > man']",farm,0,4,ruohui talks about farm mart to eat,ruohui talk farm mart eat,农场,2,0,16276893,840209,14.41689970684318,14.964322590163649,若惠若惠讲去农场吃,若惠 讲 去 农场 集市 吃,15.813462008994017,15.426351416433413,17.42575084064174,17.42575084064174
41,01NC02FBY_0101,Conversation,1,2,"['啊', 'then', '我', '就', '讲', 'or', 'rather-']",7,"['man > eng', 'eng > man', 'man > eng']",then,2,4,ah then i will talk about or rars-,ah then i just talk or rather-,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,啊然后我我或相反,啊 然后 我 就 讲 更 确切 地说 -,11.26426618224785,11.26426618224785,8.979825395929614,8.979825395929614
44,01NC02FBY_0101,Conversation,1,2,"['好', '我', '拜', '六', '才', '去', 'farm', 'mart', 'then', '他', '就', '讲']",12,"['man > eng', 'eng > man']",farm,0,4,"well, i will go to farm mart then, he will talk about it","well, i worship six farm mart then he talks",农场,2,0,16276893,840209,14.41689970684318,14.964322590163649,好我我才才才才农场thatemant他他他就,好 我 拜六才 去 然后 农场 他 就 讲,16.212761420120383,14.800050042099775,16.794984130562955,17.453629457792463
45,01NC02FBY_0101,Conversation,1,2,"['问题', '不是', '在于', '去', 'farm', 'mart', '去', '到', '那边', '我们', '要', '去', '哪里', '找', 'cab', '搭', '回来', '他', '就', '讲', 'then', '搭', 'shuttle', 'bus']",24,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",farm,0,4,"the question is not to go to farm mart, where are we going to find cab and come back and he talks about the shuttle bus",the problem is not to go farm mart where can we go there cab he will talk about it when he comes back then take shuttle bus,农场,2,0,16276893,840209,14.41689970684318,14.964322590163649,问题问题是去去去农场mart去去到那边我们要去找找找搭搭搭他就就就就就就讲搭搭,问题 不是 在于 去 农场 集市 去 到 那边 我们 要 去 哪里找 出租车 搭 回来 他 就 讲 然后 搭 机场 摆渡 车,16.608661502227246,16.525198058843205,17.467824056541918,17.274580855406132
47,01NC02FBY_0101,Conversation,1,2,"['去', 'gym', '一个', '小时', '来讲', 'after', 'that', '冲凉']",8,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",gym,0,3,go to gym for an hour to talk about after that,go gym for one hour after that shower,健身房,3,0,949766,8506,18.5160091238609,21.59044616448376,去健身房之后冲凉,去 健身房 一个 小时 来讲 在 那 之后 冲凉,17.153443425497965,16.82749584082762,17.99387960675614,17.99387960675614
48,01NC02FBY_0101,Conversation,1,2,"['我', '昨天', '我', '在', '开', '我', 'calendar', '的', '时候']",9,"['man > eng', 'eng > man']",calendar,0,8,"when i opened my calendar yesterday, i opened my calendar",i was driving me yesterday calendar when,日历,2,0,3371718,37689,16.68816926127436,19.442855407991875,我昨天我在开日历的的的的,我 昨天 我 在 开 我 日历 的 时候,15.4734523705052,15.671939899524386,17.51059388076359,18.673052788648
52,01NC02FBY_0101,Conversation,1,2,"['他', '就', '没有', 'i', 'think', '他', '没有', 'save', '我', '不', '懂']",11,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",i,2,1,"he has no i think, he doesn't have save, i don’t understand",he has no i think he did not save i don't understand,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为他他他他他他我我我,他 就 没有 我 认为 他 没有 节省 我 不 懂,11.290123073960023,11.290123073960023,4.324580004489453,6.44736214980528
58,01NC02FBY_0101,Conversation,1,2,"['在', 'train', '上面']",3,"['man > eng', 'eng > man']",train,0,5,on train,exist train above,火车,2,0,15828580,583309,14.457193209729944,15.490810495697271,在火车上面,在 火车 上面,16.06773334773941,13.772200311319533,17.402655799947656,17.402655799947656
67,01NC02FBY_0101,Conversation,1,2,"['你', 'everyday', '都', '在', 'blur', '他', '讲', 'then', '我', '就', '讲', '你', '的', 'no', 'life', 'like-', '因为', '拜', '六', '有', '看到', '他', 'online', 'then', '我', '就']",26,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",everyday,2,8,you everyday is in blur. he talks about then i will talk about your no life like-because you see him online then,you everyday all blur he said then i just talk about you no life like- because i saw him online then so i,每天,2,2,4615258,650,16.23524184108617,25.300415396193703,你每天都模糊他他他我我我我我的的你的没有生命像 - 因为因为拜六有看到看到看到看到他看到他,你 每天 都 在 模糊 他 讲 然后 我 就 讲 你 的 没有 生活 像 因为 拜六有 看到 他 然后 在线 我 就,19.95630032399061,19.95630032399061,15.665767757124087,15.665767757124087
71,01NC02FBY_0101,Conversation,1,2,"['其实', '我', '不', '懂', '他', '在', '做', '么', 'i', 'think', '他', '在']",12,"['man > eng', 'eng > man']",i,2,1,"actually, i don’t understand what he is doing. i think","actually, don't i understand that he is doing? i think he is",我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为他懂他他在在在么,其实 我 不 懂 他 在 做 么 我 认为 他 在,10.369239095642348,10.91706689478327,4.324580004489453,1.6086610204138605
