Unnamed: 0,university,sent_id,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,governer_first_cs_word,preceding_word,governer_trans,preceding_trans,Unnamed: 12,Unnamed: 13,preceding_prob
0,CMU,2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich,富人,neighborhood,,社区,,,,0.0
1,CMU,4,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,租约,商量,,To discuss,,,,0.0
2,CMU,5,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,1,house,房子,有,,There are,,,,0.0
3,CMU,6,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,8,bathroom,浴室,有,的,There are,The,,,8.788780493929464e-05
4,CMU,9,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,2,house,房子,家具,整个,furniture,the whole,,,7.827298486200473e-05
5,CMU,10,后院 ： deck 。,后院 ： 阳台 。,3,deck,阳台,阳台,：,The balcony,: ,,,5.875860691177493e-06
6,CMU,13,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,3,window,窗口,ac,有,空调,There are,,,0.0033208885955322703
7,CMU,14,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,3,flexible,灵活,入住,时间,to stay in,time,,,1.0772411267158737e-05
8,CMU,15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,6,email,发送,欢迎,欢迎,welcome,welcome,,,0.00016452409935296982
9,CMU,2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich,富人,neighborhood,,社区,,,,0.0
10,CMU,4,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,租约,商量,,To discuss,,,,0.0
11,CMU,5,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,1,house,房子,有,,There are,,,,0.0
12,CMU,6,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,8,bathroom,浴室,有,的,There are,the,,,8.788780493929464e-05
13,CMU,9,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,2,house,房子,家具,整个,furniture,The whole,,,7.827298486200473e-05
14,CMU,10,后院 ： deck 。,后院 ： 阳台 。,3,deck,阳台,阳台,：,The balcony,:,,,5.875860691177493e-06
15,CMU,13,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,3,window,窗口,ac,有,空调,There are,,,0.0033208885955322703
16,CMU,14,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,3,flexible,灵活,入住,时间,to stay in,time,,,1.0772411267158737e-05
17,CMU,15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,6,email,发送,欢迎,欢迎,welcome,welcome,,,0.00016452409935296982
18,CMU,17,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况 。,6,email,发送,发送,请,send,please,,,0.00016452409935296982
19,CMU,18,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,10,driveway,私人,。,和,.,and,,,4.896550575981244e-06
20,CMU,19,一 楼 有 half bath 。,一 楼 有 半 浴室 。,4,half,半,bath,有,浴,There are,,,0.0033208885955322703
21,CMU,22,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 ！,5,free,免费,上网,全,surf the internet,all,,,3.910985959560405e-05
22,CMU,25,对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,9,share,共用,贵,人,your,people,,,4.602757541422369e-05
