,file,type,conversation,speaker,filtered_transcript_2015,length_of_turn,direction_of_code_switches,first_cs_word,first_cs_word_eng_pos,word_length_eng,english_translation,english_wbw_translation,first_cs_word_zh,word_length_zh,first_cs_word_zh_pos,first_cs_word_eng_raw_freq,first_cs_word_zh_raw_freq,first_cs_word_eng_freq,first_cs_word_zh_freq,chinese_translation,chinese_wbw_translation,cs word en surprisal,cs word en wbw surprisal,cs word zh surprisal,cs word zh wbw surprisal
1,01NC02FBY_0101,Conversation,1,2,"['十月', 'you', 'mean', 'finals']",4,['man > eng'],you,2,3,october you mean finals,october you mean finals,你,1,2,950006304,25465651,8.549859863469642,10.042662041356165,十月你是说决赛,十月 你 的 意思 是 决赛,12.242703561387877,12.242703561387877,26.618679584822427,26.618679584822427
6,01NC02FBY_0101,Conversation,1,2,"['那个', 'then', '谁', '拿', '那个', 'top', 'one', '那个', 'foucia*']",9,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",then,2,4,that then who takes that top one that foucia*,that then who takes that top one that foucia*,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,那个然后谁谁拿拿拿那个拿那个那个,那个 然后 谁 拿 那个 最佳 那个 foucia *,12.523398844971242,12.523398844971242,23.830009644644623,23.830009644644623
8,01NC01FBX_0101,Conversation,1,1,"['就是', 'score', '就是', 'score', 'then', '为什么', '要', 'then', '他', '讲', 'like', '不', '知道', 'then', 'but', 'top', 'five', '没有', 'n.t.u.', '的', '人']",21,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",score,1,5,it is score that is the score then why he said that he said that he did not know that the but top five does not have n.t.u.u.,that is score that is score then why would then he said like have no idea then but top five no n.t.u. person,分数,2,0,9348150,74680,15.216972256349694,18.45627699699596,就就得分就分数然后为什么要为什么他他他他他不不不不不不不不不不不不不不不不不不他他不为什么为什么为什么为什么的的,就是 分数 就是 然后 得分 为什么 要 然后 他 讲 喜欢 不 知道 然后 排名 前五 没有 N . T . U . 的 人,19.338508068472027,19.325749539237997,23.830009644644623,23.954558030320612
10,01NC01FBX_0101,Conversation,1,1,"['就', '可以', 'imagine', 'name*', 'list*', '连', 'submit', '一', '六五', '都', '没有', '进', 'top', 'five', '是', '很', '强', '的']",18,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",imagine,1,7,"you can be imagine name* list* even submit, one or six or five, it is very strong",can imagine name* list* even submit none of it one six or five top five it is very strong,想象,2,1,11300073,1599462,14.943392952513726,14.035556017456978,就就想象名称*列表*连提交一一六五都都都没有没有没有没有没有没有进没有进没有,就 可以 想象 名称 * 列表 * 连 提交 一 六五 都 没有 进前 五 是 很 强 的,22.028221757016855,12.62576837772172,23.854045787567987,23.854045787567987
16,01NC01FBX_0101,Conversation,1,1,"['你', '你', '真的', '真的', '不', '可以', 'then', '你', '就', '很早', '很早', '去', 'then', '你', '就', '可以', '跟', 'dominique', '讲', '这样', 'like', '唉', '让', '我', '射', '先']",26,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"you, you really can't then, you can go to then very early, you can tell dominique that like this is like this, let me shoot first.","you really can't then you go early and early then you can follow dominique this way like well, let me shoot first",然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后，然后你你不不就早很很早早去早去你你你你就可以可以可以可以可以可以跟可以讲讲讲讲,你 你 真的 真的 不 可以 然后 你 就 很早 很早 去 然后 你 就 可以 跟 多米尼克 讲 这样 喜欢 唉 让 我 射先,13.807370228445725,10.485623510832344,20.620483305354295,23.830009644644623
18,01NC01FBX_0101,Conversation,1,1,"['对', 'hopefully']",2,['man > eng'],hopefully,2,9,to hopefully,right hopefully,希望,2,1,1182177,6355830,18.200207082645257,12.045062197486722,对希望,对 希望,18.14643948670665,20.57740952471194,22.728897779466923,22.728897779466923
20,01NC02FBY_0101,Conversation,1,2,"['可能', '这次', 'male', '会', '失手']",5,"['man > eng', 'eng > man']",male,0,4,maybe male will be lost this time,maybe this time male i will lose their hands,男性,2,0,21239332,599303,14.032986652655715,15.451785233881688,男性会会会会,可能 这次 男性 会 失手,14.856584607575424,16.28775693659775,19.80310163726745,23.784396249973724
30,01NC02FBY_0101,Conversation,1,2,"['我', '的', 'camera']",3,['man > eng'],camera,0,6,my camera,mine camera,相机,2,0,6758774,116837,15.68489156583706,17.810573609705955,我相机,我 的 相机,13.417910700529227,15.817970197611588,23.91273661657003,23.977045822558953
31,01NC02FBY_0101,Conversation,1,2,"['搞', '笑', '刚才', 'breakfast', 'i', 'asked', '瑞', '宝', '呃']",9,"['man > eng', 'eng > man']",breakfast,0,9,funny breakfast i asked ruibao,"funny just now breakfast i asked ruibao, uh",早餐,2,2,7819125,45563,15.474645968450817,19.169136183163022,我问早餐瑞瑞瑞瑞宝宝,搞笑 刚才 我 问 早餐 瑞宝 呃,17.915342250544,18.31849011536829,23.830009644644623,23.830009644644623
34,01NC02FBY_0101,Conversation,1,2,"['我们', 'gym', '到来', '八点', '多', 'leh', 'then', '我', '就', '讲']",10,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",gym,0,3,"our gym arrives at eight o'clock, leh then, i will talk",us gym at more than eight o'clock leh then i just talk,健身房,3,0,949766,8506,18.5160091238609,21.59044616448376,我们健身房到来到来八点leh然后,我们 健身房 到来 八点 多 leh 我 就 讲,18.379773044862777,19.21062944988091,23.784396249973724,23.784396249973724
37,01NC01FBX_0101,Conversation,1,1,"['我', '没有', 'meeting', '了']",4,"['man > eng', 'eng > man']",meeting,0,7,i don't have meeting anymore,i don't meeting be,会议,2,0,31367103,16266233,13.47047275415043,10.689334455356969,我会议了,我 没有 会议 了,15.928824599102027,13.11227371642383,23.91273661657003,23.854045787567987
40,01NC02FBY_0101,Conversation,1,2,"['若惠', '讲', '去', 'farm', 'mart', '吃']",6,"['man > eng', 'eng > man']",farm,0,4,ruohui talks about farm mart to eat,ruohui talk farm mart eat,农场,2,0,16276893,840209,14.416899706843179,14.964322590163649,若惠若惠讲去农场吃,若惠 讲 去 农场 集市 吃,17.84649396200622,16.619938451530963,23.949688748119126,23.949688748119126
41,01NC02FBY_0101,Conversation,1,2,"['啊', 'then', '我', '就', '讲', 'or', 'rather-']",7,"['man > eng', 'eng > man', 'man > eng']",then,2,4,ah then i will talk about or rars-,ah then i just talk or rather-,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,啊然后我我或相反,啊 然后 我 就 讲 更 确切 地说 -,11.232034510521585,11.232034510521585,23.998538697332876,23.998538697332876
44,01NC02FBY_0101,Conversation,1,2,"['好', '我', '拜', '六', '才', '去', 'farm', 'mart', 'then', '他', '就', '讲']",12,"['man > eng', 'eng > man']",farm,0,4,"well, i will go to farm mart then, he will talk about it","well, i worship six farm mart then he talks",农场,2,0,16276893,840209,14.416899706843179,14.964322590163649,好我我才才才才农场thatemant他他他就,好 我 拜六才 去 然后 农场 他 就 讲,15.419596275652458,13.553254023742365,23.854045787567987,23.854045787567987
45,01NC02FBY_0101,Conversation,1,2,"['问题', '不是', '在于', '去', 'farm', 'mart', '去', '到', '那边', '我们', '要', '去', '哪里', '找', 'cab', '搭', '回来', '他', '就', '讲', 'then', '搭', 'shuttle', 'bus']",24,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",farm,0,4,"the question is not to go to farm mart, where are we going to find cab and come back and he talks about the shuttle bus",the problem is not to go farm mart where can we go there cab he will talk about it when he comes back then take shuttle bus,农场,2,0,16276893,840209,14.416899706843179,14.964322590163649,问题问题是去去去农场mart去去到那边我们要去找找找搭搭搭他就就就就就就讲搭搭,问题 不是 在于 去 农场 集市 去 到 那边 我们 要 去 哪里找 出租车 搭 回来 他 就 讲 然后 搭 机场 摆渡 车,16.656224868689844,20.77412580167093,23.949688748119126,23.949688748119126
47,01NC02FBY_0101,Conversation,1,2,"['去', 'gym', '一个', '小时', '来讲', 'after', 'that', '冲凉']",8,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",gym,0,3,go to gym for an hour to talk about after that,go gym for one hour after that shower,健身房,3,0,949766,8506,18.5160091238609,21.59044616448376,去健身房之后冲凉,去 健身房 一个 小时 来讲 在 那 之后 冲凉,21.529032632462847,19.75775731877224,23.98434409858342,23.98434409858342
48,01NC02FBY_0101,Conversation,1,2,"['我', '昨天', '我', '在', '开', '我', 'calendar', '的', '时候']",9,"['man > eng', 'eng > man']",calendar,0,8,"when i opened my calendar yesterday, i opened my calendar",i was driving me yesterday calendar when,日历,2,0,3371718,37689,16.68816926127436,19.442855407991875,我昨天我在开日历的的的的,我 昨天 我 在 开 我 日历 的 时候,18.572819587855346,17.192079442398363,23.80843239289709,23.854045787567987
52,01NC02FBY_0101,Conversation,1,2,"['他', '就', '没有', 'i', 'think', '他', '没有', 'save', '我', '不', '懂']",11,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",i,2,1,"he has no i think, he doesn't have save, i don’t understand",he has no i think he did not save i don't understand,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为他他他他他他我我我,他 就 没有 我 认为 他 没有 节省 我 不 懂,18.076307272960197,18.076307272960197,21.795383498339675,21.24791812155391
58,01NC02FBY_0101,Conversation,1,2,"['在', 'train', '上面']",3,"['man > eng', 'eng > man']",train,0,5,on train,exist train above,火车,2,0,15828580,583309,14.457193209729944,15.490810495697271,在火车上面,在 火车 上面,16.51884121724083,17.201163919159455,24.703126290114675,24.703126290114675
67,01NC02FBY_0101,Conversation,1,2,"['你', 'everyday', '都', '在', 'blur', '他', '讲', 'then', '我', '就', '讲', '你', '的', 'no', 'life', 'like-', '因为', '拜', '六', '有', '看到', '他', 'online', 'then', '我', '就']",26,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",everyday,2,8,you everyday is in blur. he talks about then i will talk about your no life like-because you see him online then,you everyday all blur he said then i just talk about you no life like- because i saw him online then so i,每天,2,2,4615258,650,16.23524184108617,25.300415396193703,你每天都模糊他他他我我我我我的的你的没有生命像 - 因为因为拜六有看到看到看到看到他看到他,你 每天 都 在 模糊 他 讲 然后 我 就 讲 你 的 没有 生活 像 因为 拜六有 看到 他 然后 在线 我 就,18.755835236772594,18.755835236772594,24.028088244315327,24.028088244315327
71,01NC02FBY_0101,Conversation,1,2,"['其实', '我', '不', '懂', '他', '在', '做', '么', 'i', 'think', '他', '在']",12,"['man > eng', 'eng > man']",i,2,1,"actually, i don’t understand what he is doing. i think","actually, don't i understand that he is doing? i think he is",我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为他懂他他在在在么,其实 我 不 懂 他 在 做 么 我 认为 他 在,14.926859664229957,14.926859664229957,21.795383498339675,21.202304726883007
75,01NC01FBX_0101,Conversation,1,1,"['就', 'hopefully', '显惠', '会', '早点', '放', 'then', '下来', 'join', '我们', '对', '就']",12,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",hopefully,2,9,"just show that hopefully will put the then later, join, we are right, let's right",at once hopefully xianhui will put it early then come down join we are right,希望,2,1,1182177,6355830,18.200207082645257,12.045062197486722,就希望显惠显惠点点点点下来下来下来下来下来下来我们我们,就 希望 显惠会 早点 放 然后 下来 加入 我们 对 就,16.238099426664135,22.18350794335484,22.308630690398438,22.308630690398438
76,01NC01FBX_0101,Conversation,1,1,"['没有', 'then', '没', 'chungan', '他', 'in', 'the', 'end', '#pangseh#', '哦', '他', '就', '不', '懂', '做', '了', '什么', 'then', '就', '显惠', '也', '是', '做工', '做到', '很', '迟', 'then', 'in', 'the', 'end', '他', '还', '跟着', '他', '老板', '回家', '他', '老板', '就', '讲', 'oh', 'come', 'to', 'my', 'house', 'to', 'do', 'then', '我们', '就', '以为', '他', '老板', '要', '干吗']",55,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > other', 'other > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"there is no one without chungan, he in the end # pangseh # oh, he didn't know what the then, he did not know what to do.do then do we think his boss is going to do",no then without chungan he in the end #pangseh# oh he doesn't know what to do then xianhui is also very late in workmanship then in the end he also followed his boss home and his boss said oh come to my house to do then we thought his boss was going to do,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后没chungan ther＃pangseh＃pangseh＃哦哦他懂做什么了了了什么了了什么什么就就就显惠显惠也也是很很迟迟迟迟迟迟迟迟迟迟迟迟迟迟然后做我们我们以为老板要干干,没有 然后 没 Chungan 他 最后 ＃ pangseh ＃ 哦 他 就 不 懂 做 了 什么 然后 就 显惠 也 是 做工 做到 很迟 然后 最后 他 还跟着 他 老板 回家 他 老板 就 讲 哦 ， 来 我家 去 做 我们 就 以为 他 老板 要 干吗,10.485623510832344,12.718732535457143,20.620483305354295,24.196098744027967
80,01NC02FBY_0101,Conversation,1,2,"['那种', '他', 'exam']",3,['man > eng'],exam,0,4,that kind of exam,him exam,考试,2,0,1754929,1366355,17.630240476167963,14.262810368140752,考试,那种 他 考试,18.549141548780607,18.84831107107807,24.420959724578083,24.282874481915428
87,01NC01FBX_0101,Conversation,1,1,"['屁', 'if', 'prof', 'get', '你', 'd', '我', '砍', '我', '头', '给', '你', '真的']",13,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",if,2,2,"fart if prop get you d, i cut my head for you really",fart if prof get you d i cut me my head for you,如果,2,2,411367074,18679385,9.75737062575837,10.48976768335448,屁如果教授获得你你我,屁 如果 教授 得到 你 d 我 砍 我 头 给 你 真的,11.87406687534856,11.87406687534856,17.927475925103387,17.927475925103387
90,01NC01FBX_0101,Conversation,1,1,"['对', '对', 'then', 'kelmo*(name)', '有', '一定', 'd', 'plus', '也', '是', '他', '的', 'final', 'sem']",14,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",then,2,4,there is a certain d plus for then kelmo*(name).,yep then kelmo*(name) certain d plus it's also his final sem,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,对对然后Kelmo*（名称）有d d plus也也是他的他他他的,对 对 然后 kelmo * （ 名称 ） 有 一定 D   Plus 也 是 他 的 最后 的 SEM,12.978486716523145,11.37894578393955,23.983100368704694,23.983100368704694
94,01NC02FBY_0101,Conversation,1,2,"['他', '打包', '了', '挺', '多', 'module', '而且', '他', '天天', '都', '没有', '去', '上课', '他', '就', '天天', '去', '教', 'tuition']",19,"['man > eng', 'eng > man', 'man > eng']",module,0,6,he packed a lot of module and he didn't go to class every day.,"he paid a lot module and he didn't go to class every day, he would teach every day every day tuition",模块,2,0,2570416,252877,17.079651273821455,16.696635004592874,他打包挺多模块而且而且而且天天都没有去他他天天天天去去去去,他 打包 了 挺 多 模块 而且 他 天天 都 没有 去 上课 他 就 天天 去 教学 费,20.032797684159675,20.693652093572283,23.830009644644623,23.830009644644623
100,01NC01FBX_0101,Conversation,1,1,"['很', '很', 'wasted', '唉', '整个', '对', '整个', 'sem', '就', '浪费', '掉', '了']",12,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",wasted,1,6,very foundted 对 the whole of the entire sem was wasted,very wasted oh the whole to the whole sem just waste it,浪费,2,1,2958397,760513,16.87683747320447,15.108097920480027,wasted浪费了唉唉个对整个个就就就浪费,很 很 浪费 唉 整个 对 整个 SEM 就 浪费 掉 了,14.37510567827369,18.922778733181158,23.854045787567987,23.80843239289709
102,01NC02FBY_0101,Conversation,1,2,"['可是', '就', 'i', 'think', 'engineering', 'side', '的', 'modules', '都', '是', '你']",11,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",i,2,1,but the modules of i think engineering side are you,just i think engineering side of modules it's all you,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,可是可是我认为工程方的模块都都都是你,可是 就 我 认为 工程 方面 的 模块 都 是 你,16.796686286518778,17.32335340369527,21.24791812155391,21.24791812155391
106,01NC02FBY_0101,Conversation,1,2,"['带', '过', '了', 'then']",4,['man > eng'],then,2,4,bringing then,pass then,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后,带过 了 然后,11.90756320510055,11.050636640586548,20.620483305354295,23.830009644644623
